Term ID,Term name,Hierarchy role,Parent names,Full hierarchy path(s)
912,UNCTAD NTMs Week,Standalone root,,UNCTAD NTMs Week
1547,UNCTAD15,Root parent,,UNCTAD15
1619,Conference Document,Leaf child,UNCTAD15,UNCTAD15 > Conference Document
1623,Conference Event,Child and parent,UNCTAD15,UNCTAD15 > Conference Event
1628,Committee of the Whole,Leaf child,Conference Event,UNCTAD15 > Conference Event > Committee of the Whole
1629,General Debate,Leaf child,Conference Event,UNCTAD15 > Conference Event > General Debate
1626,High-level Event,Leaf child,Conference Event,UNCTAD15 > Conference Event > High-level Event
1627,Press Event,Leaf child,Conference Event,UNCTAD15 > Conference Event > Press Event
1620,Event Document,Leaf child,UNCTAD15,UNCTAD15 > Event Document
1611,Forum,Child and parent,UNCTAD15,UNCTAD15 > Forum
1612,Civil Society Forum,Leaf child,Forum,UNCTAD15 > Forum > Civil Society Forum
1613,Creative Industries and Trade Digitization Forum,Leaf child,Forum,UNCTAD15 > Forum > Creative Industries and Trade Digitization Forum
1614,Gender Forum,Leaf child,Forum,UNCTAD15 > Forum > Gender Forum
1615,Global Commodities Forum,Leaf child,Forum,UNCTAD15 > Forum > Global Commodities Forum
1616,Youth Forum,Leaf child,Forum,UNCTAD15 > Forum > Youth Forum
1624,Pre-event,Leaf child,UNCTAD15,UNCTAD15 > Pre-event
1621,Reference Document,Leaf child,UNCTAD15,UNCTAD15 > Reference Document
1625,Side Event,Leaf child,UNCTAD15,UNCTAD15 > Side Event
1622,Statement,Leaf child,UNCTAD15,UNCTAD15 > Statement
1605,UNCTAD15 Commentary and Analysis,Leaf child,UNCTAD15,UNCTAD15 > UNCTAD15 Commentary and Analysis
1606,UNCTAD15 Impact Story,Leaf child,UNCTAD15,UNCTAD15 > UNCTAD15 Impact Story
1604,UNCTAD15 News,Leaf child,UNCTAD15,UNCTAD15 > UNCTAD15 News
1845,UNCTAD16,Root parent,,UNCTAD16
1883,UNCTAD16: Concept Notes,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Concept Notes
1882,UNCTAD16: Conference Documents,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Conference Documents
1881,UNCTAD16: Country Statements,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Country Statements
1899,UNCTAD16: Exhibition,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Exhibition
1888,UNCTAD16: Forum,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Forum
1885,UNCTAD16: General debate,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: General debate
1887,UNCTAD16: Group Ministerial,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Group Ministerial
1886,UNCTAD16: High-level event,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: High-level event
1900,UNCTAD16: Interviews,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Interviews
1891,UNCTAD16: Negotiations,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Negotiations
1889,UNCTAD16: Parallel event,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Parallel event
1890,UNCTAD16: Press event,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Press event
1880,UNCTAD16: Reference Documents,Leaf child,UNCTAD16,UNCTAD16 > UNCTAD16: Reference Documents
1435,UNGIS Dialogue [DO NOT USE],Standalone root,,UNGIS Dialogue [DO NOT USE]
1563,Youth,Root parent,,Youth
918,Youth eFounders Fellowship Programme,Leaf child,Youth,Youth > Youth eFounders Fellowship Programme
919,Youth eFounders Profiles of Fellows,Leaf child,Youth,Youth > Youth eFounders Profiles of Fellows
920,Youth Network,Leaf child,Youth,Youth > Youth Network
1583,Youth Network: inspirational stories,Leaf child,Youth,Youth > Youth Network: inspirational stories
